rating,review,title
5.0,"product looking good. I thiNk it's original.,Orginal Product....😘😘 Charger Ta 18w hole valo hoto...,100% genuine and awesome phone. The best phone.,Original Product",Xiaomi Mi A3 - 6.088inches - 4GB RAM - 128GB ROM
5.0,"Received this phone just within 2 days with 1300 tk discount. Thanks daraz for providing that.,super fast delivery. thanks daraz,Good phone,good phone,Good phone",Xiaomi Redmi 7 - 6.26  - 3GB RAM - 32GB ROM - 12MP + 2MP Rear Dual Camera
4.9,"This is a nice looking set. Came the very next day I ordered. Haven't checked yet, but it is made in India. Box includes a free back cover. There is no warranty card or anything included, contacted Daraz and they said the invoice that we get in our emails will do. Hope I don't fall in problems with this... May update only if there is any problem with the set...,Well Packed, Quick Delivered, Received as I Ordered. A little bit disappointed due to the product is Made in India and there was no Invoice.,I didn't receive the product. Daraz played with me like a snake. I have lots of proof for that. And daraz showed my order is delivered in system to kill the issue. Instead of this if they tell me the truth for their mistake that should be good.

I bought Xiomi Note8 pro 6gb128gb rom from market. I am very much happy with that phone.,finally I got it
ok no problem
but I confused now,its indian version. it should be global version. still they are giving 1 year warrenty. lets see the service if any problem occur.",Xiaomi Redmi Note 7 Pro - 6.3inches - 6GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera
4.9,"Original product. Well packed. i am satisfied for good service.  Everything ok but warranty card is blank. How to claim warranty without any documents?,The pack is housed with every accessories...I check the authorization by IMEI number and it's authorized by xiomi mi bd....the delivery is super fast by Daraz...
one thing is that it doesn't have international warranty...,Authentic and genuine product. Awesome camera, longer battery life and blazing fast phone beyond the value. But it took 4 days to deliver inside Dhaka.,100% genuine product.
Set is awesome. I am fully satisfied,wow mobile ta dekte onek sundor",Redmi Note 8 Pro - 6.53inches - 6GB RAM - 64GB ROM - 20MP Selfie Camera
5.0,"using 7 days and its original, good quality product.,Ekdom Intact peyechi# Thanks daraz😍😎🙂",Redmi Y3 Smartphone 6.26  - 4GB RAM - 64GB ROM - 32MP Selfie Camera
4.8,"Well, Everything is great. Original and 100% authentic, Verified with MI. International version. but I don't like ""Made in India ""...  
I would have been happier if it was a Chinese Global version. 
any way, thanks to Daraz, as well as Xiaomi for an authentic product. 💙
The device is available on BTRC data base, and I also checked the warranty with Xiaomi.  That was okay...,got it in 15.11 offer. 
considering price, quite good mobile. but price decreased 800 tk in immediate next friday. product ok, but daraz pricing policy is poor. delivered in ctg in 6 days.,I have satisfied with this product. This is original and official mobile. Delivery was little bit delayed and packaging would be more better. Whatever I got my product safely and I am happy with it. Thanks,Orginal Phone and fast delivery I just love it.
Before time i just complaint about delivery service but now I am satisfied.,ভালোই । হেভি ইউজে অনেক গরম হয়। সব মিলিয়ে বাজেটের পারফেক্ট বলা যেতে পারে। তবে আইএমইআই একটি এক্টিভেট হয়েছে অন্যটি চলে তবে অফিশিয়াল বলছে না।",Xiaomi Redmi Note 7S - 6.3inches - 4GB RAM - 64GB ROM - 48MP + 5MP AI Dual Rear Camera
4.6,"khub taratri paia gesi.overall valo set,but na neoar jonno bolsi.Android one khub subidhar na.,It was the global version and checked out okay in the Xiaomi website with IMEI. the packaging was great. got it on a fair deal. It would have been great if there was a warranty card or memo issued with my name.,Gd product, excellent packing,Good product. Very happy on the price that I have got 👍","Xiaomi Mi A3 - 6.088inches - 4GB RAM - 64GB ROM air Triple camera 48MP primary Camera, 32MP Air selfie camera"
0,,Xiaomi Redmi K20 Pro
0,,Xiaomi Redmi Note 8T
4.8,"Everything is alright..,Full fresh brand new. Good packaging. No complaint on product. but the delivery boy should be professional. He did not take my signature. The proof showing on app is not mine.,After Waiting 18 Days....Still Not Recived 🤔 But Daraz Show me ""Delivered "" Today 😠 What a same 🤥 What To Do Now?,খুব দ্রুত হাতে পেয়েছি কোয়ালিটি প্যাকেজিং কোয়ালিটি খুব ভালো,খুবই অল্প সময়ের ভিতর হাতে পেয়েছি",Redmi Note 8 Pro - 6.53inches - 6GB RAM - 128GB ROM - 20MP Selfie Camera
0,,Xiaomi Mi CC9 Pro
4.9,"good one.... delivery first...redmi 8 call recording option nai...miui10....
tnq daraz....,Thank you so much Daraz. I got this product in 11.11 within 2 days. My mom will love this product❤️ its a gift for her birthday🎊🎉🎁,ami ai mobile ta amar baba ke gift disi .
amar baba ata pay onek happy,Really authentic product also fast delivery... 
full satisfaction,very fast delivery... good packing with attractive colour..",Redmi 8 - 6.22inches - 3GB RAM - 32GB ROM - 8MP Front Camera
0,,Redmi Note 6 Pro Quad Camera All-Rounder 4+64GB - Black
5.0,"good phone,Fast shipping . Good packaging. Original product. Fully satisfied.

Highly recommended!",Redmi 8 - 6.22inches - 4GB RAM - 64GB ROM - 8MP Front Camera
0,,Mi 8 Lite 24MP Selfie Camera - 4GB RAM - 64GB ROM - Aurora Blue
5.0,"Received in good condition. Till now all okay. Official Xiaomi product.,This is too good 🙂",Xiaomi Redmi 7A - 5.45  - 2GB RAM - 32GB ROM - 12MP AI Rear camera
